Tweets,Sentiment
Tweets,neutral
Bill Cosby's retrial gets underway amid 'explosion of awareness' of #MeToo https://t.co/OGTeFcqERm via @CBCNews https://t.co/NnyLjPpzZF,neutral
"RT @MTVUK: “We are every raging tide, from the #MeToo movement to battling gender divides. To be a woman, is to be both worrier and warrior…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"RT @jennyyangtv: #🍚🐰
""Chinese feminists found a way around [Weibo blocking #MeToo hash] they began using #RiceBunny in its place along w th…",neutral
#MeToo movement looms over jury selection in Bill Cosby case https://t.co/80Z018QzkV,neutral
RT @cmdbdezines: women's political t-shirt for feminists https://t.co/0h6adrZmBn #Amazon #feminism #WarOnWomen #gender #women #MGTOW #Femin…,neutral
RT @WM_Global: How do you say #MeToo in countries with censorship?  Learn how feminist in China are using emojis to share their #MeToo stor…,neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
Store manager Richard at #westlakeace 112 in #raleigh always degrading woman and gays. He has been reported over th… https://t.co/1dIHYHxZqv,neutral
RT @kerrywekelo: HR failed on sexual harassment. Now what?  https://t.co/PRhGg9jZ2X v @EBNmagazine and @mayereditor #metoo #timesup #HR,neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @WM_Global: How do you say #MeToo in countries with censorship?  Learn how feminist in China are using emojis to share their #MeToo stor…,neutral
RT @TheNudeReporter: Imagine if sex workers rallied together to stop women from working in offices after #metoo? Its hard to picture - but…,negative
"RT @TheDemCoalition: We need this across the country: On Saturday, New York passed a law requiring that domestic abusers must turn over all…",positive
My MeToo Story!!: https://t.co/SRitxSvkjf via @YouTube,neutral
RT @ChristieBarbie8: The @HillaryClinton Hatred continues....the corrupt MSM loves pointing to Solely Republicans voters as the ONLY opinio…,negative
Incredibly proud part of @stellacreasy #PayMeToo campaign. It’s time women are paid the same as male counterparts f… https://t.co/0H8clvlZtU,positive
"RT @Shakestweetz: ""Chinese feminists found a way around [#MeToo censoring]—they began using #RiceBunny in its place along with the rice bow…",neutral
Justice in the #MeToo era is not nearly as swift for federal employees https://t.co/PaosRPb9z3,negative
RT @ChicagoWTA: April has been declared National Sexual Assault Awareness and Prevention month. We need to take action to lower these stati…,positive
"RT @ClaudiaStellar: ""Chinese feminists found a way around [#MeToo censoring]—they began using #RiceBunny in its place along with the rice b…",neutral
"RT @BlackBalladUK: ""Africa is a place where matters pertaining to sex, be it sexual identity or harassment are shrouded in secrecy""

https:…",positive
"RT @HairyLeggdHarpy: RETWEET to find them!:

To the 3 girls that @eddieizzard terrified in 1985 in the loos in Highbury; you are probably i…",neutral
"RT @aLastingChange: The @EHRC has called for ""urgent action"" to better protect victims of sexual harassment in the workplace. Here are exam…",positive
@PageSix @DorindaMedley Giving her credit for #MeToo is completely absurd. Brave women coming forward made it happen.,positive
Tough Choices for Charities and Schools as #MeToo Taints Their Benefactors https://t.co/BFi6QIH42G https://t.co/ilejkGyBHj,negative
"Trump threatened to change libel laws, and succeeded - the women Trump  sexually assaulted can now sue him for libe… https://t.co/hkozo3ITZX",positive
PRWeek survey showed over half of respondents experienced sexual harassment in workplace - 31% more than six times… https://t.co/2MZl4un0ir,positive
@fleccas Yes! #MeToo I am a Transage/transillegal person who identifies as a child when called out on my bullshit..… https://t.co/rnjvt40A2z,neutral
RT @BienSur_JeTaime: For context: Feldman has spent pretty much his whole adult life exposing the rampant pedophilia in Hollywood. No one b…,positive
INSANITY: CNN Article Claims Easter Story Is Like A #MeToo Moment https://t.co/2C7kAeCKO7,neutral
"RT @ClaudiaStellar: ""Chinese feminists found a way around [#MeToo censoring]—they began using #RiceBunny in its place along with the rice b…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @Martinet9292: @Dakrr6666 @RealDCDom2759 @Kitten4Pway @notyourprince1 @lookint0havefun @Fabrizi68124604 @nowaday_metoo @PomShinShin @R_s…,neutral
RT @helen: watching Ghost Adventures n this fool actually just urged a sex worker ghost to come forward bc of the MeToo Movement LMFAOOOOO…,neutral
@Angela_Chochi She never played or was interested in the #MeToo card. She specifically said she’s not a victim of abuse or assault.,positive
@IndySport @Independent #metoo Seb... me too. :(,negative
Tough Choices for Charities and Schools as #MeToo Taints Their Benefactors https://t.co/7mz0aZlhCM https://t.co/BbsvbXl3Pw,negative
Tough Choices for Charities and Schools as #MeToo Taints Their Benefactors https://t.co/uiF3rGRpvr https://t.co/RYuO0dI7SS,negative
RT @cmdbdezines: women's political t-shirt for feminists https://t.co/0h6adrZmBn #Amazon #feminism #WarOnWomen #gender #women #MGTOW #Femin…,neutral
"RT @ROTCRadio: #BREAKING Two actresses are reportedly ""willing to talk"" regarding the years of allegations surrounding Dan Schneider. This…",positive
RT @Unifor2002: Nova Scotia misses mark on #DomesticViolence leave https://t.co/q6aoVfDcam via @UniforTheUnion @Lanampayne @nerok39 @Unifor…,neutral
"RT @kashmirVIII: It’s funny because, when the #metoo movement popped off I remember someone saying “omg once it gets to hip hop it’s gonna…",positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"No Ruby Tuesday for #metoo, anyway they have too much ""russian dressing"" at the salad bar and the food is too expen… https://t.co/8xE2mr2mUk",neutral
@dezilahevelyne @shoshannaclaire @BGolbert @RealDylanFarrow MeToo is going to blacklist both Céline Dion and Robert… https://t.co/OQM0vhQqv4,neutral
"we should be glad women want equality not revenge 

#HeForShe #metoo",positive
"RT @jennyyangtv: #🍚🐰
""Chinese feminists found a way around [Weibo blocking #MeToo hash] they began using #RiceBunny in its place along w th…",neutral
Justice in the #MeToo era is not nearly as swift for federal employees https://t.co/R4MWnGnk05,negative
"RT @RealJack: The left has demonized faith.

CNN compared a biblical story to the #MeToo movement. Google refused to make any graphics for…",neutral
So says the #pussygrabberinchief - #me2 #metoo https://t.co/uWQcC2r5bi,neutral
Had one of my most challenging interviews on the recent #metoo supporter at the #tonyrobbins event. Interview will be up later today,positive
"RT @MiKohiyama: #ShioriÌto: ""during the investigation, I had to reenact with a life size doll. That was a second rape.."". In #Japan reenact…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
Oh my God. This #TonyRobbins thing- Wtf? I seriously feel like I might start talking about this subject today and j… https://t.co/RA8ElDFGwu,negative
"RT @RealJack: The left has demonized faith.

CNN compared a biblical story to the #MeToo movement. Google refused to make any graphics for…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
SIGH. What a twatwaffle :: Putin's Spokesperson Compared #MeToo Victims To Prostitutes https://t.co/MgAnKGdt6S,neutral
Jury selection is set to get underway in Bill Cosby's sexual assault retrial in a cultural landscape changed by the… https://t.co/fowkmSYOTS,positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"RT @amnesty: You say you’re standing with women around the world to make their voices heard. Well, @jack, #HereWeAre telling you that your…",neutral
